date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-04-04,AMGN,67.66,68.15,67.39,67.85,3602368,Event19,[]
2012-04-03,AMGN,68.07,68.27,67.47,67.93,4790069,Event19,-0.117768290888
2012-04-02,AMGN,67.57,68.2,67.12,68.11,4508484,Event19,-0.26427837322
2012-03-30,AMGN,67.66,68.0,67.25,67.97,3861338,Event19,0.205973223481
2012-03-29,AMGN,67.36,67.7,66.96,67.32,3091986,Event19,0.965537730244
2012-03-28,AMGN,67.55,67.97,67.29,67.68,3431652,Event19,-0.531914893617
2012-03-27,AMGN,67.71,68.34,67.64,67.81,5209874,Event19,-0.191712136853
2012-03-26,AMGN,67.28,67.72,67.2,67.52,5048477,Event19,0.429502369668
2012-03-23,AMGN,66.59,67.03,66.42,66.66,3665646,Event19,1.2901290129
2012-03-22,AMGN,66.74,66.85,66.31,66.62,6084983,Event19,0.0600420294206
2012-03-21,AMGN,67.71,67.71,67.02,67.05,4316816,Event19,-0.641312453393
2012-03-20,AMGN,67.83,68.56,67.55,67.58,3316310,Event19,-0.784255696952
2012-03-19,AMGN,67.2,68.3,67.0,68.05,2938647,Event19,-0.69066862601
2012-03-16,AMGN,68.09,68.49,67.35,67.38,8288747,Event19,0.994360344316
2012-03-15,AMGN,68.24,68.3,67.78,68.26,3891140,Event19,-1.2891883973
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2011-02-11,BMS,32.68,33.22,32.61,33.11,747411,Event24,[]
2011-02-10,BMS,33.11,33.32,32.91,33.0,1001287,Event24,0.333333333333
2011-02-09,BMS,32.82,33.24,32.69,33.24,694404,Event24,-0.72202166065
2011-02-08,BMS,32.77,33.0,32.69,32.91,730890,Event24,1.00273473108
2011-02-07,BMS,32.8,33.06,32.35,32.7,798337,Event24,0.642201834862
2011-02-04,BMS,32.49,32.7,32.15,32.68,1724895,Event24,0.0611995104039
2011-02-03,BMS,32.13,32.47,32.0,32.42,2425195,Event24,0.801974090068
2011-02-02,BMS,31.52,32.01,31.31,31.78,2226466,Event24,2.01384518565
2011-02-01,BMS,30.65,32.71,30.13,32.04,2869227,Event24,-0.811485642946
2011-01-31,BMS,32.66,33.17,32.53,32.55,1150916,Event24,-1.5668202765
2011-01-28,BMS,32.9,33.05,32.28,32.37,846446,Event24,0.556070435588
2011-01-27,BMS,32.91,33.12,32.74,32.9,706846,Event24,-1.61094224924
2011-01-26,BMS,32.77,33.03,32.57,32.92,643864,Event24,-0.0607533414338
2011-01-25,BMS,32.54,32.68,32.29,32.65,838411,Event24,0.826952526799
2011-01-24,BMS,32.25,32.67,32.25,32.67,788695,Event24,-0.0612182430364
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2013-02-15,LLY,53.5,54.0,53.5,53.59,5484683,Event3,[]
2013-02-14,LLY,53.22,53.58,53.18,53.5,4278087,Event3,0.168224299065
2013-02-13,LLY,53.4,53.45,53.26,53.44,4384918,Event3,0.112275449102
2013-02-12,LLY,53.74,53.91,53.68,53.8,19666635,Event3,-0.669144981413
2013-02-11,LLY,53.56,54.06,53.48,53.9,18307287,Event3,-0.185528756957
2013-02-08,LLY,53.64,54.0,53.56,53.72,17142758,Event3,0.335070737156
2013-02-07,LLY,53.85,53.92,53.22,53.78,5233841,Event3,-0.111565637784
2013-02-06,LLY,53.93,54.16,53.63,53.93,3575283,Event3,-0.278138327462
2013-02-05,LLY,53.76,54.39,53.76,54.1,3519882,Event3,-0.314232902033
2013-02-04,LLY,53.84,53.88,53.48,53.55,4968948,Event3,1.02707749767
2013-02-01,LLY,53.55,54.48,53.55,54.2,4206284,Event3,-1.19926199262
2013-01-31,LLY,54.07,54.16,53.21,53.69,5123325,Event3,0.949897560067
2013-01-30,LLY,54.23,54.78,53.99,54.15,6318283,Event3,-0.849492151431
2013-01-29,LLY,52.76,54.87,52.76,54.32,11004289,Event3,-0.312960235641
2013-01-28,LLY,53.12,53.25,52.46,52.64,8054152,Event3,3.1914893617
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-04-05,LLY,40.13,40.5,40.1,40.48,4379361,Event18,[]
2012-04-04,LLY,40.15,40.46,40.02,40.33,4175329,Event18,0.371931564592
2012-04-03,LLY,40.48,40.59,40.13,40.32,3340333,Event18,0.0248015873016
2012-04-02,LLY,40.3,40.64,40.23,40.48,5233866,Event18,-0.395256916996
2012-03-30,LLY,40.06,40.36,39.95,40.26,4784315,Event18,0.546448087432
2012-03-29,LLY,40.05,40.09,39.66,39.96,5311444,Event18,0.750750750751
2012-03-28,LLY,40.32,40.37,39.87,40.31,4874747,Event18,-0.868270900521
2012-03-27,LLY,40.37,40.42,40.18,40.26,4183402,Event18,0.124192747144
2012-03-26,LLY,39.98,40.4,39.97,40.27,5361061,Event18,-0.0248323814254
2012-03-23,LLY,40.03,40.04,39.71,39.87,5203383,Event18,1.00326059694
2012-03-22,LLY,39.57,39.85,39.47,39.81,3949318,Event18,0.150715900527
2012-03-21,LLY,40.01,40.13,39.8,39.95,4671623,Event18,-0.350438047559
2012-03-20,LLY,40.18,40.29,39.9,40.02,4443365,Event18,-0.174912543728
2012-03-19,LLY,40.06,40.4,39.92,40.32,4278240,Event18,-0.744047619048
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-10-19,PFE,25.95,26.0,25.6,25.76,40291036,Event8,[]
2012-10-18,PFE,25.69,26.09,25.68,26.04,27315799,Event8,-1.0752688172
2012-10-17,PFE,25.86,25.93,25.72,25.84,21706502,Event8,0.77399380805
2012-10-16,PFE,25.69,25.92,25.65,25.8,25743745,Event8,0.15503875969
2012-10-15,PFE,25.17,25.62,25.14,25.57,30913596,Event8,0.899491591709
2012-10-12,PFE,25.16,25.24,25.03,25.12,23168108,Event8,1.79140127389
2012-10-11,PFE,25.28,25.39,25.0,25.12,22868977,Event8,0.0
2012-10-10,PFE,25.34,25.4,25.01,25.16,21456611,Event8,-0.158982511924
2012-10-09,PFE,25.31,25.49,25.26,25.31,21103116,Event8,-0.592651126037
2012-10-08,PFE,25.46,25.52,25.21,25.4,18791417,Event8,-0.354330708661
2012-10-05,PFE,25.46,25.59,25.37,25.52,24666483,Event8,-0.470219435737
2012-10-04,PFE,25.42,25.47,25.31,25.35,25019121,Event8,0.670611439842
2012-10-03,PFE,25.11,25.35,25.04,25.32,22233125,Event8,0.118483412322
2012-10-02,PFE,25.18,25.41,24.97,25.12,30493095,Event8,0.796178343949
2012-10-01,PFE,24.8,25.15,24.8,25.04,22821151,Event8,0.319488817891
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-08-10,BMS,29.78,30.31,29.78,30.28,679404,Event12,[]
2012-08-09,BMS,30.06,30.17,29.89,29.96,583765,Event12,1.06809078772
2012-08-08,BMS,30.24,30.32,30.02,30.11,638615,Event12,-0.498173364331
2012-08-07,BMS,30.36,30.45,30.15,30.36,623610,Event12,-0.823451910408
2012-08-06,BMS,30.59,30.77,30.25,30.29,942230,Event12,0.23109937273
2012-08-03,BMS,30.45,30.72,30.29,30.45,1252643,Event12,-0.525451559934
2012-08-02,BMS,29.82,30.05,29.59,30.0,1672457,Event12,1.5
2012-08-01,BMS,30.79,30.86,30.12,30.2,1052872,Event12,-0.662251655629
2012-07-31,BMS,30.79,31.0,30.73,30.75,1027534,Event12,-1.78861788618
2012-07-30,BMS,30.8,30.97,30.72,30.8,999898,Event12,-0.162337662338
2012-07-27,BMS,30.9,31.23,30.32,30.9,914352,Event12,-0.323624595469
2012-07-26,BMS,30.87,31.35,30.59,30.75,1052530,Event12,0.487804878049
2012-07-25,BMS,31.05,31.16,30.46,30.54,1215564,Event12,0.687622789784
2012-07-24,BMS,31.13,31.13,30.67,30.83,822765,Event12,-0.940642231593
2012-07-23,BMS,30.82,31.11,30.47,31.0,921587,Event12,-0.548387096774
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2013-03-28,AMGN,99.84,102.62,99.79,102.51,5508739,Event1,[]
2013-03-27,AMGN,98.06,100.32,98.02,100.15,3478212,Event1,2.35646530205
2013-03-26,AMGN,97.29,98.76,97.07,98.66,3126921,Event1,1.51023717819
2013-03-25,AMGN,96.92,97.52,96.01,96.81,5042237,Event1,1.91095961161
2013-03-22,AMGN,94.69,96.6,94.1,96.56,4724610,Event1,0.258906379453
2013-03-21,AMGN,93.65,94.31,93.47,94.31,3673992,Event1,2.38574912523
2013-03-20,AMGN,92.92,94.89,92.88,94.05,4157701,Event1,0.276448697501
2013-03-19,AMGN,90.68,92.52,90.54,92.4,4011446,Event1,1.78571428571
2013-03-18,AMGN,91.27,91.36,90.35,90.39,3605821,Event1,2.22369731165
2013-03-15,AMGN,91.84,92.16,91.26,91.81,10172673,Event1,-1.54667247577
2013-03-14,AMGN,91.65,92.29,91.15,92.18,3436757,Event1,-0.401388587546
2013-03-13,AMGN,91.6,91.79,90.67,91.54,2606015,Event1,0.69914791348
2013-03-12,AMGN,91.58,91.81,91.04,91.75,4997477,Event1,-0.228882833787
2013-03-11,AMGN,92.66,93.36,90.87,91.44,5699666,Event1,0.339020122485
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2013-01-11,BIIB,143.99,145.02,141.03,143.79,1793496,Event5,[]
2013-01-10,BIIB,144.41,144.8,141.48,143.91,2119547,Event5,-0.0833854492391
2013-01-09,BIIB,144.2,146.88,143.7,144.08,2098883,Event5,-0.117990005552
2013-01-08,BIIB,145.53,146.52,144.08,144.39,1760309,Event5,-0.214696308609
2013-01-07,BIIB,145.29,146.65,145.08,146.42,1121573,Event5,-1.38642261986
2013-01-04,BIIB,148.02,148.45,145.77,145.93,1533065,Event5,0.335777427534
2013-01-03,BIIB,142.25,149.0,141.73,147.86,5816696,Event5,-1.30528878669
2013-01-02,BIIB,148.72,150.98,148.46,150.0,1580926,Event5,-1.42666666667
2012-12-31,BIIB,145.84,147.0,145.04,146.37,927820,Event5,2.4800163968
2012-12-28,BIIB,146.98,148.06,146.05,146.05,716498,Event5,0.219103046902
2012-12-27,BIIB,148.39,149.5,146.33,147.76,1072692,Event5,-1.15728207905
2012-12-26,BIIB,149.35,149.35,147.03,148.43,507752,Event5,-0.451391228188
2012-12-24,BIIB,149.14,149.9,148.72,149.07,358562,Event5,-0.429328503388
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-10-05,BIIB,152.0,154.04,151.87,152.53,965613,Event9,[]
2012-10-04,BIIB,153.01,154.56,152.1,152.57,995726,Event9,-0.0262174739464
2012-10-03,BIIB,150.0,152.94,149.15,152.94,1056765,Event9,-0.241924937884
2012-10-02,BIIB,149.94,150.61,149.16,149.92,773777,Event9,2.0144076841
2012-10-01,BIIB,149.16,152.56,149.13,149.94,1089171,Event9,-0.0133386688009
2012-09-28,BIIB,150.0,150.34,147.9,149.21,1322490,Event9,0.489243348301
2012-09-27,BIIB,152.13,153.09,150.26,150.71,1743707,Event9,-0.995288965563
2012-09-26,BIIB,155.74,157.18,151.52,151.62,1785497,Event9,-0.600184672207
2012-09-25,BIIB,155.0,155.5,152.64,152.83,956274,Event9,-0.791729372505
2012-09-24,BIIB,154.8,155.14,153.0,154.4,832518,Event9,-1.01683937824
2012-09-21,BIIB,156.31,156.46,154.02,154.58,1690804,Event9,-0.116444559451
2012-09-20,BIIB,156.02,156.56,153.87,156.06,1174464,Event9,-0.948353197488
2012-09-19,BIIB,155.96,156.47,154.59,155.04,1068572,Event9,0.657894736842
2012-09-18,BIIB,154.76,156.52,154.45,155.8,1075685,Event9,-0.487804878049
2012-09-17,BIIB,154.03,155.35,153.44,154.41,1597939,Event9,0.900200764199
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-06-01,LLY,40.67,40.73,40.12,40.16,6388171,Event15,[]
2012-05-31,LLY,41.08,41.26,40.78,40.95,6575612,Event15,-1.92918192918
2012-05-30,LLY,41.2,41.45,40.96,40.99,4578998,Event15,-0.0975847767748
2012-05-29,LLY,41.24,41.55,41.21,41.3,4191492,Event15,-0.750605326876
2012-05-25,LLY,41.11,41.5,41.0,41.11,4076176,Event15,0.462174653369
2012-05-24,LLY,40.71,41.16,40.64,41.16,5630255,Event15,-0.121477162293
2012-05-23,LLY,40.92,41.0,40.36,40.67,7941205,Event15,1.20481927711
2012-05-22,LLY,40.66,41.16,40.51,41.0,9236282,Event15,-0.80487804878
2012-05-21,LLY,40.47,40.7,40.36,40.63,4955879,Event15,0.910657149889
2012-05-18,LLY,40.61,40.83,40.34,40.44,8350600,Event15,0.469831849654
2012-05-17,LLY,40.73,40.94,40.53,40.53,5824405,Event15,-0.222057735011
2012-05-16,LLY,40.65,40.85,40.54,40.75,4081735,Event15,-0.539877300613
2012-05-15,LLY,40.86,40.94,40.46,40.58,5660576,Event15,0.418925579103
2012-05-14,LLY,41.05,41.26,40.79,40.93,6009970,Event15,-0.855118494991
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-07-20,LLY,44.16,44.27,43.98,44.17,6509114,Event13,[]
2012-07-19,LLY,44.52,44.6,44.39,44.4,4592023,Event13,-0.518018018018
2012-07-18,LLY,43.85,44.67,43.79,44.51,9138992,Event13,-0.247135475174
2012-07-17,LLY,44.08,44.27,43.8,43.96,11535488,Event13,1.25113739763
2012-07-16,LLY,43.21,43.89,43.19,43.85,5780289,Event13,0.250855188141
2012-07-13,LLY,42.92,43.5,42.73,43.26,4580193,Event13,1.36384650948
2012-07-12,LLY,42.67,42.93,42.51,42.84,4075587,Event13,0.980392156863
2012-07-11,LLY,42.66,42.91,42.52,42.8,4062641,Event13,0.0934579439253
2012-07-10,LLY,43.08,43.15,42.72,42.86,4142464,Event13,-0.139990667289
2012-07-09,LLY,42.64,42.99,42.64,42.95,3113542,Event13,-0.209545983702
2012-07-06,LLY,42.7,42.74,42.42,42.66,3244257,Event13,0.679793717768
2012-07-05,LLY,43.05,43.06,42.8,42.85,3760182,Event13,-0.443407234539
2012-07-03,LLY,42.95,43.31,42.81,43.16,2294130,Event13,-0.718257645968
2012-07-02,LLY,43.06,43.22,42.87,42.99,4710561,Event13,0.395440800186
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-07-12,BMS,30.12,30.26,29.91,30.05,900816,Event14,[]
2012-07-11,BMS,30.45,30.65,30.22,30.37,845960,Event14,-1.05367138624
2012-07-10,BMS,30.81,30.98,30.22,30.4,1022535,Event14,-0.0986842105263
2012-07-09,BMS,30.71,30.81,30.35,30.67,514750,Event14,-0.880339093577
2012-07-06,BMS,31.15,31.22,30.63,30.8,833675,Event14,-0.422077922078
2012-07-05,BMS,31.57,31.7,31.39,31.46,653368,Event14,-2.0979020979
2012-07-03,BMS,31.24,31.61,31.16,31.6,332348,Event14,-0.443037974684
2012-07-02,BMS,31.24,31.41,30.89,31.23,733627,Event14,1.18475824528
2012-06-29,BMS,31.59,31.6,31.19,31.34,1067264,Event14,-0.350989151244
2012-06-28,BMS,31.1,31.2,30.8,31.1,737382,Event14,0.771704180064
2012-06-27,BMS,31.45,31.59,31.16,31.23,642228,Event14,-0.416266410503
2012-06-26,BMS,31.54,31.68,31.32,31.32,874600,Event14,-0.287356321839
2012-06-25,BMS,31.37,31.59,31.31,31.49,615528,Event14,-0.53985392188
2012-06-22,BMS,31.72,31.89,31.52,31.65,704461,Event14,-0.505529225908
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-04-05,AMGN,67.77,68.14,67.49,68.02,3858095,Event17,[]
